"filename", "language", "Java", "JSON", "comment", "blank", "total"
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\client\java\name\kingdoms\clientEconomyCache.java", "Java", 24, 0, 0, 3, 27
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\client\java\name\kingdoms\client\ClientEconomyView.java", "Java", 26, 0, 2, 6, 34
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\client\java\name\kingdoms\client\ClientMailCache.java", "Java", 22, 0, 0, 8, 30
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\client\java\name\kingdoms\client\ClientMailPolicyCache.java", "Java", 21, 0, 0, 8, 29
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\client\java\name\kingdoms\client\ClientMailRecipientsCache.java", "Java", 15, 0, 0, 7, 22
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\client\java\name\kingdoms\client\ClientNewsCache.java", "Java", 12, 0, 0, 6, 18
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\client\java\name\kingdoms\client\ClientWarBattleStatus.java", "Java", 38, 0, 5, 9, 52
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\client\java\name\kingdoms\client\KingdomTransitionHUD.java", "Java", 45, 0, 3, 19, 67
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\client\java\name\kingdoms\client\SoldierRenderer.java", "Java", 55, 0, 10, 15, 80
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\client\java\name\kingdoms\client\WarBattleHUD.java", "Java", 84, 0, 7, 19, 110
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\client\java\name\kingdoms\client\WarCommandClientHooks.java", "Java", 65, 0, 6, 17, 88
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\client\java\name\kingdoms\client\WarOverviewScreen.java", "Java", 61, 0, 3, 19, 83
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\client\java\name\kingdoms\client\aiKingdomEntityRenderer.java", "Java", 35, 0, 1, 13, 49
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\client\java\name\kingdoms\client\aiKingdomNPCRenderer.java", "Java", 39, 0, 7, 11, 57
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\client\java\name\kingdoms\client\borderWandClient.java", "Java", 79, 0, 9, 23, 111
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\client\java\name\kingdoms\client\clientHoverCardCache.java", "Java", 21, 0, 0, 9, 30
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\client\java\name\kingdoms\client\clientProxyImpl.java", "Java", 12, 0, 0, 5, 17
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\client\java\name\kingdoms\client\diploScreen.java", "Java", 322, 0, 22, 96, 440
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\client\java\name\kingdoms\client\kingdomBordersMapScreen.java", "Java", 581, 0, 111, 181, 873
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\client\java\name\kingdoms\client\kingdomWorkerRenderer.java", "Java", 35, 0, 2, 9, 46
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\client\java\name\kingdoms\client\mailScreen.java", "Java", 965, 0, 71, 274, 1310
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\client\java\name\kingdoms\client\warCommandClientState.java", "Java", 18, 0, 4, 5, 27
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\client\java\name\kingdoms\jobRequirementsScreen.java", "Java", 196, 0, 213, 56, 465
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\client\java\name\kingdoms\kingdomEconomyScreen.java", "Java", 56, 0, 1, 16, 73
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\client\java\name\kingdoms\kingdomMenuScreen.java", "Java", 103, 0, 2, 27, 132
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\client\java\name\kingdoms\kingdomsClient.java", "Java", 132, 0, 16, 47, 195
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\client\java\name\kingdoms\mixin\client\ExampleClientMixin.java", "Java", 12, 0, 1, 2, 15
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\client\java\name\kingdoms\network\clientNetworkInit.java", "Java", 241, 0, 14, 54, 309
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\client\java\name\kingdoms\treasuryScreen.java", "Java", 514, 0, 57, 152, 723
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\client\resources\kingdoms.client.mixins.json", "JSON", 0, 11, 0, 0, 11
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\AIkingdomNPCSpawnerBlock.java", "Java", 64, 0, 4, 17, 85
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\IKingdomSpawnerBlock.java", "Java", 3, 0, 5, 1, 9
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\Kingdoms.java", "Java", 489, 0, 14, 128, 631
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\KingdomsCommands.java", "Java", 1928, 0, 123, 436, 2487
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\ModEffects.java", "Java", 28, 0, 2, 7, 37
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\RetinueRespawnManager.java", "Java", 207, 0, 30, 54, 291
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\RetinueSpawner.java", "Java", 111, 0, 25, 32, 168
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\WarCommandItem.java", "Java", 94, 0, 5, 22, 121
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\aiKingdomState.java", "Java", 420, 0, 49, 131, 600
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\blueprint\Blueprint.java", "Java", 121, 0, 13, 34, 168
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\blueprint\BlueprintFootprintState.java", "Java", 92, 0, 15, 17, 124
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\blueprint\BlueprintPlaceCommand.java", "Java", 48, 0, 0, 10, 58
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\blueprint\BlueprintPlacer.java", "Java", 165, 0, 20, 44, 229
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\blueprint\BlueprintPlacerEngine.java", "Java", 1611, 0, 162, 467, 2240
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\blueprint\CastleOriginState.java", "Java", 67, 0, 10, 16, 93
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\blueprint\KingdomGenGate.java", "Java", 17, 0, 2, 7, 26
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\blueprint\KingdomSatelliteSpawner.java", "Java", 343, 0, 45, 85, 473
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\blueprint\KingdomsSpawnState.java", "Java", 61, 0, 12, 18, 91
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\blueprint\RegionActivityState.java", "Java", 69, 0, 7, 16, 92
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\blueprint\RegionDecisionStateV2.java", "Java", 95, 0, 14, 21, 130
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\blueprint\RoadAStar.java", "Java", 187, 0, 16, 62, 265
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\blueprint\RoadAnchorState.java", "Java", 72, 0, 10, 19, 101
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\blueprint\RoadAnchors.java", "Java", 99, 0, 27, 32, 158
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\blueprint\RoadBuildState.java", "Java", 43, 0, 8, 15, 66
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\blueprint\RoadBuilder.java", "Java", 549, 0, 75, 165, 789
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\blueprint\RoadEdge.java", "Java", 3, 0, 0, 4, 7
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\blueprint\RoadNetworkPlanner.java", "Java", 79, 0, 0, 19, 98
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\blueprint\WorldgenBlueprintQueueState.java", "Java", 120, 0, 9, 20, 149
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\blueprint\worldGenBluePrintAutoSpawner.java", "Java", 447, 0, 110, 149, 706
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\borderSelection.java", "Java", 25, 0, 0, 10, 35
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\clientWarZoneCache.java", "Java", 13, 0, 1, 6, 20
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\diplomacy\AiDiplomacyEvent.java", "Java", 28, 0, 1, 5, 34
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\diplomacy\AiDiplomacyEventState.java", "Java", 42, 0, 1, 16, 59
